Country/Region,Province/State,Country/Region,date,Lat,Long,confirmed,deaths,recoveries
Kenya,,Kenya,1/22/20,-0.0236,37.9062,0,0,0
South Korea,,South Korea,1/22/20,35.90775700000001,127.766922,1,0,0
Kuwait,,Kuwait,1/22/20,29.31166,47.481766,0,0,0
Kyrgyzstan,,Kyrgyzstan,1/22/20,41.20438,74.766098,0,0,0
Latvia,,Latvia,1/22/20,56.8796,24.6032,0,0,0
Lebanon,,Lebanon,1/22/20,33.8547,35.8623,0,0,0
Liberia,,Liberia,1/22/20,6.4280550000000005,-9.429499,0,0,0
Liechtenstein,,Liechtenstein,1/22/20,47.14,9.55,0,0,0
Lithuania,,Lithuania,1/22/20,55.1694,23.8813,0,0,0
Luxembourg,,Luxembourg,1/22/20,49.8153,6.1296,0,0,0
Madagascar,,Madagascar,1/22/20,-18.766947,46.869107,0,0,0
Malaysia,,Malaysia,1/22/20,4.210483999999999,101.975766,0,0,0
Maldives,,Maldives,1/22/20,3.2028,73.2207,0,0,0
Malta,,Malta,1/22/20,35.9375,14.3754,0,0,0
Mauritania,,Mauritania,1/22/20,21.0079,-10.9408,0,0,0
Mauritius,,Mauritius,1/22/20,-20.348404,57.552152,0,0,0
Mexico,,Mexico,1/22/20,23.6345,-102.5528,0,0,0
Moldova,,Moldova,1/22/20,47.4116,28.3699,0,0,0
Monaco,,Monaco,1/22/20,43.7333,7.4167,0,0,0
Mongolia,,Mongolia,1/22/20,46.8625,103.8467,0,0,0
Montenegro,,Montenegro,1/22/20,42.708678000000006,19.37439,0,0,0
Morocco,,Morocco,1/22/20,31.7917,-7.0926,0,0,0
Namibia,,Namibia,1/22/20,-22.9576,18.4904,0,0,0
Nepal,,Nepal,1/22/20,28.1667,84.25,0,0,0
Netherlands,Aruba,Netherlands,1/22/20,12.5211,-69.9683,0,0,0
Netherlands,Curacao,Netherlands,1/22/20,12.1696,-68.99,0,0,0
Netherlands,Sint Maarten,Netherlands,1/22/20,18.0425,-63.0548,0,0,0
Netherlands,,Netherlands,1/22/20,52.1326,5.2913,0,0,0
New Zealand,,New Zealand,1/22/20,-40.9006,174.886,0,0,0
Nicaragua,,Nicaragua,1/22/20,12.865416,-85.207229,0,0,0
Niger,,Niger,1/22/20,17.607789,8.081666,0,0,0
Nigeria,,Nigeria,1/22/20,9.082,8.6753,0,0,0
North Macedonia,,North Macedonia,1/22/20,41.6086,21.7453,0,0,0
Norway,,Norway,1/22/20,60.472,8.4689,0,0,0
Oman,,Oman,1/22/20,21.512583,55.92325500000001,0,0,0
Pakistan,,Pakistan,1/22/20,30.3753,69.3451,0,0,0
Panama,,Panama,1/22/20,8.538,-80.7821,0,0,0
Papua New Guinea,,Papua New Guinea,1/22/20,-6.314993,143.95555,0,0,0
Paraguay,,Paraguay,1/22/20,-23.4425,-58.4438,0,0,0
Peru,,Peru,1/22/20,-9.19,-75.0152,0,0,0
Philippines,,Philippines,1/22/20,12.879721,121.774017,0,0,0
Poland,,Poland,1/22/20,51.9194,19.1451,0,0,0
Portugal,,Portugal,1/22/20,39.3999,-8.2245,0,0,0
Qatar,,Qatar,1/22/20,25.3548,51.1839,0,0,0
Romania,,Romania,1/22/20,45.9432,24.9668,0,0,0
Russia,,Russia,1/22/20,61.52401,105.318756,0,0,0
Rwanda,,Rwanda,1/22/20,-1.9403,29.8739,0,0,0
Saint Lucia,,Saint Lucia,1/22/20,13.9094,-60.9789,0,0,0
St. Vincent & Grenadines,,St. Vincent & Grenadines,1/22/20,12.9843,-61.2872,0,0,0
San Marino,,San Marino,1/22/20,43.9424,12.4578,0,0,0
Saudi Arabia,,Saudi Arabia,1/22/20,23.885942,45.079162,0,0,0
Senegal,,Senegal,1/22/20,14.4974,-14.4524,0,0,0
Serbia,,Serbia,1/22/20,44.0165,21.0059,0,0,0
Seychelles,,Seychelles,1/22/20,-4.6796,55.492,0,0,0
Singapore,,Singapore,1/22/20,1.2833,103.8333,0,0,0
Slovakia,,Slovakia,1/22/20,48.669,19.699,0,0,0
Slovenia,,Slovenia,1/22/20,46.1512,14.9955,0,0,0
Somalia,,Somalia,1/22/20,5.152149,46.199616,0,0,0
South Africa,,South Africa,1/22/20,-30.5595,22.9375,0,0,0
Spain,,Spain,1/22/20,40.463667,-3.74922,0,0,0
Sri Lanka,,Sri Lanka,1/22/20,7.873054,80.77179699999998,0,0,0
Sudan,,Sudan,1/22/20,12.8628,30.2176,0,0,0
Suriname,,Suriname,1/22/20,3.9193,-56.0278,0,0,0
Sweden,,Sweden,1/22/20,60.128161,18.643501,0,0,0
Switzerland,,Switzerland,1/22/20,46.8182,8.2275,0,0,0
Taiwan,,Taiwan,1/22/20,23.7,121.0,1,0,0
Tanzania,,Tanzania,1/22/20,-6.369028,34.888822,0,0,0
Thailand,,Thailand,1/22/20,15.870032,100.992541,2,0,0
Togo,,Togo,1/22/20,8.6195,0.8248,0,0,0
Trinidad and Tobago,,Trinidad and Tobago,1/22/20,10.6918,-61.2225,0,0,0
Tunisia,,Tunisia,1/22/20,33.886917,9.537499,0,0,0
Turkey,,Turkey,1/22/20,38.9637,35.2433,0,0,0
Uganda,,Uganda,1/22/20,1.373333,32.290275,0,0,0
Ukraine,,Ukraine,1/22/20,48.3794,31.1656,0,0,0
United Arab Emirates,,United Arab Emirates,1/22/20,23.424076,53.847818,0,0,0
United Kingdom,Bermuda,United Kingdom,1/22/20,32.3078,-64.7505,0,0,0
United Kingdom,Cayman Islands,United Kingdom,1/22/20,19.3133,-81.2546,0,0,0
United Kingdom,Channel Islands,United Kingdom,1/22/20,49.3723,-2.3644,0,0,0
United Kingdom,Gibraltar,United Kingdom,1/22/20,36.1408,-5.3536,0,0,0
United Kingdom,Isle of Man,United Kingdom,1/22/20,54.2361,-4.5481,0,0,0
United Kingdom,Montserrat,United Kingdom,1/22/20,16.742498,-62.187366,0,0,0
United Kingdom,,United Kingdom,1/22/20,55.3781,-3.4360000000000004,0,0,0
Uruguay,,Uruguay,1/22/20,-32.5228,-55.7658,0,0,0
United States,,United States,1/22/20,40.0,-100.0,1,0,0
Uzbekistan,,Uzbekistan,1/22/20,41.377491,64.585262,0,0,0
Venezuela,,Venezuela,1/22/20,6.4238,-66.5897,0,0,0
Vietnam,,Vietnam,1/22/20,14.058324,108.277199,0,0,0
Zambia,,Zambia,1/22/20,-13.133897,27.849332,0,0,0
Zimbabwe,,Zimbabwe,1/22/20,-19.015438,29.154857,0,0,0
Dominica,,Dominica,1/22/20,15.415,-61.371,0,0,0
Grenada,,Grenada,1/22/20,12.1165,-61.679,0,0,0
Mozambique,,Mozambique,1/22/20,-18.6657,35.5296,0,0,0
Syria,,Syria,1/22/20,34.8021,38.9968,0,0,0
Timor-Leste,,Timor-Leste,1/22/20,-8.8742,125.7275,0,0,0
Belize,,Belize,1/22/20,17.1899,-88.4976,0,0,0
Laos,,Laos,1/22/20,19.85627,102.495496,0,0,0
Libya,,Libya,1/22/20,26.3351,17.228331,0,0,0
Israel,,Israel,1/22/20,31.9522,35.2332,0,0,0
Guinea-Bissau,,Guinea-Bissau,1/22/20,11.8037,-15.1804,0,0,0
Mali,,Mali,1/22/20,17.570692,-3.996166000000001,0,0,0
Saint Kitts & Nevis,,Saint Kitts & Nevis,1/22/20,17.357822,-62.782998,0,0,0
Kosovo,,Kosovo,1/22/20,42.602636,20.902977,0,0,0
Myanmar,,Myanmar,1/22/20,21.9162,95.956,0,0,0
United Kingdom,Anguilla,United Kingdom,1/22/20,18.2206,-63.0686,0,0,0
United Kingdom,British Virgin Islands,United Kingdom,1/22/20,18.4207,-64.64,0,0,0
United Kingdom,Turks and Caicos Islands,United Kingdom,1/22/20,21.69400000000001,-71.7979,0,0,0
MS Zaandam,,MS Zaandam,1/22/20,0.0,0.0,0,0,0
Botswana,,Botswana,1/22/20,-22.3285,24.6849,0,0,0
Burundi,,Burundi,1/22/20,-3.3731,29.9189,0,0,0
Sierra Leone,,Sierra Leone,1/22/20,8.460555000000001,-11.779889,0,0,0
Netherlands,"Bonaire, Sint Eustatius and Saba",Netherlands,1/22/20,12.1784,-68.2385,0,0,0
Malawi,,Malawi,1/22/20,-13.2543,34.3015,0,0,0
United Kingdom,Falkland Islands (Malvinas),United Kingdom,1/22/20,-51.7963,-59.5236,0,0,0
France,Saint Pierre and Miquelon,France,1/22/20,46.8852,-56.3159,0,0,0
South Sudan,,South Sudan,1/22/20,6.877000000000002,31.307,0,0,0
Western Sahara,,Western Sahara,1/22/20,24.2155,-12.8858,0,0,0
Sao Tome & Principe,,Sao Tome & Principe,1/22/20,0.1864,6.6131,0,0,0
Yemen,,Yemen,1/22/20,15.552727,48.516388,0,0,0
Comoros,,Comoros,1/22/20,-11.6455,43.3333,0,0,0
Tajikistan,,Tajikistan,1/22/20,38.861,71.2761,0,0,0
Lesotho,,Lesotho,1/22/20,-29.61,28.2336,0,0,0
Afghanistan,,Afghanistan,1/23/20,33.93911,67.709953,0,0,0
Albania,,Albania,1/23/20,41.1533,20.1683,0,0,0
Algeria,,Algeria,1/23/20,28.0339,1.6596,0,0,0
Andorra,,Andorra,1/23/20,42.5063,1.5218,0,0,0
Angola,,Angola,1/23/20,-11.2027,17.8739,0,0,0
Antigua and Barbuda,,Antigua and Barbuda,1/23/20,17.0608,-61.7964,0,0,0
Argentina,,Argentina,1/23/20,-38.4161,-63.6167,0,0,0
Armenia,,Armenia,1/23/20,40.0691,45.0382,0,0,0
Australia,Australian Capital Territory,Australia,1/23/20,-35.4735,149.0124,0,0,0
Australia,New South Wales,Australia,1/23/20,-33.8688,151.2093,0,0,0
Australia,Northern Territory,Australia,1/23/20,-12.4634,130.8456,0,0,0
Australia,Queensland,Australia,1/23/20,-27.4698,153.0251,0,0,0
Australia,South Australia,Australia,1/23/20,-34.9285,138.6007,0,0,0
Australia,Tasmania,Australia,1/23/20,-42.8821,147.3272,0,0,0
Australia,Victoria,Australia,1/23/20,-37.8136,144.9631,0,0,0
Australia,Western Australia,Australia,1/23/20,-31.9505,115.8605,0,0,0
Austria,,Austria,1/23/20,47.5162,14.5501,0,0,0
Azerbaijan,,Azerbaijan,1/23/20,40.1431,47.5769,0,0,0
Bahamas,,Bahamas,1/23/20,25.025885,-78.035889,0,0,0
Bahrain,,Bahrain,1/23/20,26.0275,50.55,0,0,0
Bangladesh,,Bangladesh,1/23/20,23.685,90.3563,0,0,0
Barbados,,Barbados,1/23/20,13.1939,-59.5432,0,0,0
Belarus,,Belarus,1/23/20,53.7098,27.9534,0,0,0
Belgium,,Belgium,1/23/20,50.8333,4.469936,0,0,0
Benin,,Benin,1/23/20,9.3077,2.3158,0,0,0
Bhutan,,Bhutan,1/23/20,27.5142,90.4336,0,0,0
Bolivia,,Bolivia,1/23/20,-16.2902,-63.5887,0,0,0
Bosnia and Herzegovina,,Bosnia and Herzegovina,1/23/20,43.9159,17.6791,0,0,0
Brazil,,Brazil,1/23/20,-14.235,-51.9253,0,0,0
Brunei,,Brunei,1/23/20,4.5353,114.7277,0,0,0
Bulgaria,,Bulgaria,1/23/20,42.7339,25.4858,0,0,0
Burkina Faso,,Burkina Faso,1/23/20,12.2383,-1.5616,0,0,0
Cabo Verde,,Cabo Verde,1/23/20,16.5388,-23.0418,0,0,0
Cambodia,,Cambodia,1/23/20,11.55,104.9167,0,0,0
Cameroon,,Cameroon,1/23/20,3.848,11.5021,0,0,0
Central African Republic,,Central African Republic,1/23/20,6.6111,20.9394,0,0,0
Chad,,Chad,1/23/20,15.4542,18.7322,0,0,0
Chile,,Chile,1/23/20,-35.6751,-71.543,0,0,0
China,Anhui,China,1/23/20,31.8257,117.2264,9,0,0
China,Beijing,China,1/23/20,40.1824,116.4142,22,0,0
China,Chongqing,China,1/23/20,30.0572,107.874,9,0,0
China,Fujian,China,1/23/20,26.0789,117.9874,5,0,0
China,Gansu,China,1/23/20,35.7518,104.2861,2,0,0
China,Guangdong,China,1/23/20,23.3417,113.4244,32,0,2
China,Guangxi,China,1/23/20,23.8298,108.7881,5,0,0
China,Guizhou,China,1/23/20,26.8154,106.8748,3,0,0
China,Hainan,China,1/23/20,19.1959,109.7453,5,0,0
China,Hebei,China,1/23/20,37.8957,114.9042,1,1,0
China,Heilongjiang,China,1/23/20,47.862,127.7615,2,0,0
China,Henan,China,1/23/20,33.882,113.614,5,0,0
China,Hong Kong,China,1/23/20,22.3,114.2,2,0,0
China,Hubei,China,1/23/20,30.9756,112.2707,444,17,28
China,Hunan,China,1/23/20,27.6104,111.7088,9,0,0
China,Inner Mongolia,China,1/23/20,44.0935,113.9448,0,0,0
China,Jiangsu,China,1/23/20,32.9711,119.455,5,0,0
China,Jiangxi,China,1/23/20,27.614,115.7221,7,0,0
China,Jilin,China,1/23/20,43.6661,126.1923,1,0,0
China,Liaoning,China,1/23/20,41.2956,122.6085,3,0,0
China,Macau,China,1/23/20,22.1667,113.55,2,0,0
China,Ningxia,China,1/23/20,37.2692,106.1655,1,0,0
China,Qinghai,China,1/23/20,35.7452,95.9956,0,0,0
China,Shaanxi,China,1/23/20,35.1917,108.8701,3,0,0
China,Shandong,China,1/23/20,36.3427,118.1498,6,0,0
China,Shanghai,China,1/23/20,31.202,121.4491,16,0,0
China,Shanxi,China,1/23/20,37.5777,112.2922,1,0,0
China,Sichuan,China,1/23/20,30.6171,102.7103,8,0,0
China,Tianjin,China,1/23/20,39.3054,117.323,4,0,0
China,Tibet,China,1/23/20,31.6927,88.0924,0,0,0
China,Xinjiang,China,1/23/20,41.1129,85.2401,2,0,0
China,Yunnan,China,1/23/20,24.974,101.487,2,0,0
China,Zhejiang,China,1/23/20,29.1832,120.0934,27,0,0
Colombia,,Colombia,1/23/20,4.5709,-74.2973,0,0,0
Congo,,Congo,1/23/20,-0.228,15.8277,0,0,0
Congo,,Congo,1/23/20,-4.0383,21.7587,0,0,0
Costa Rica,,Costa Rica,1/23/20,9.7489,-83.7534,0,0,0
Côte d'Ivoire,,Côte d'Ivoire,1/23/20,7.54,-5.5471,0,0,0
Croatia,,Croatia,1/23/20,45.1,15.2,0,0,0
Diamond Princess,,Diamond Princess,1/23/20,0.0,0.0,0,0,0
Cuba,,Cuba,1/23/20,21.521757,-77.78116700000002,0,0,0
Cyprus,,Cyprus,1/23/20,35.1264,33.4299,0,0,0
Czech Republic (Czechia),,Czech Republic (Czechia),1/23/20,49.8175,15.473,0,0,0
Denmark,Faroe Islands,Denmark,1/23/20,61.8926,-6.9118,0,0,0
Denmark,Greenland,Denmark,1/23/20,71.7069,-42.6043,0,0,0
Denmark,,Denmark,1/23/20,56.2639,9.5018,0,0,0
Djibouti,,Djibouti,1/23/20,11.8251,42.5903,0,0,0
Dominican Republic,,Dominican Republic,1/23/20,18.7357,-70.1627,0,0,0
Ecuador,,Ecuador,1/23/20,-1.8312,-78.1834,0,0,0
Egypt,,Egypt,1/23/20,26.820553000000004,30.802498,0,0,0
El Salvador,,El Salvador,1/23/20,13.7942,-88.8965,0,0,0
Equatorial Guinea,,Equatorial Guinea,1/23/20,1.6508,10.2679,0,0,0
Eritrea,,Eritrea,1/23/20,15.1794,39.7823,0,0,0
Estonia,,Estonia,1/23/20,58.5953,25.0136,0,0,0
Eswatini,,Eswatini,1/23/20,-26.5225,31.4659,0,0,0
Ethiopia,,Ethiopia,1/23/20,9.145,40.4897,0,0,0
Fiji,,Fiji,1/23/20,-17.7134,178.065,0,0,0
Finland,,Finland,1/23/20,61.92411,25.748151,0,0,0
France,French Guiana,France,1/23/20,3.9339,-53.1258,0,0,0
France,French Polynesia,France,1/23/20,-17.6797,149.4068,0,0,0
France,Guadeloupe,France,1/23/20,16.265,-61.551,0,0,0
France,Mayotte,France,1/23/20,-12.8275,45.166244,0,0,0
France,New Caledonia,France,1/23/20,-20.904305,165.618042,0,0,0
France,Reunion,France,1/23/20,-21.1151,55.5364,0,0,0
France,Saint Barthelemy,France,1/23/20,17.9,-62.8333,0,0,0
France,St Martin,France,1/23/20,18.0708,-63.0501,0,0,0
France,Martinique,France,1/23/20,14.6415,-61.0242,0,0,0
France,,France,1/23/20,46.2276,2.2137,0,0,0
Gabon,,Gabon,1/23/20,-0.8037,11.6094,0,0,0
Gambia,,Gambia,1/23/20,13.4432,-15.3101,0,0,0
Georgia,,Georgia,1/23/20,42.3154,43.3569,0,0,0
Germany,,Germany,1/23/20,51.165691,10.451526,0,0,0
Ghana,,Ghana,1/23/20,7.9465,-1.0232,0,0,0
Greece,,Greece,1/23/20,39.0742,21.8243,0,0,0
Guatemala,,Guatemala,1/23/20,15.7835,-90.2308,0,0,0
Guinea,,Guinea,1/23/20,9.9456,-9.6966,0,0,0
Guyana,,Guyana,1/23/20,4.860416000000002,-58.93018000000001,0,0,0
Haiti,,Haiti,1/23/20,18.9712,-72.2852,0,0,0
Holy See,,Holy See,1/23/20,41.9029,12.4534,0,0,0
Honduras,,Honduras,1/23/20,15.2,-86.2419,0,0,0
Hungary,,Hungary,1/23/20,47.1625,19.5033,0,0,0
Iceland,,Iceland,1/23/20,64.9631,-19.0208,0,0,0
India,,India,1/23/20,20.593684,78.96288,0,0,0
Indonesia,,Indonesia,1/23/20,-0.7893,113.9213,0,0,0
Iran,,Iran,1/23/20,32.427908,53.68804599999999,0,0,0
Iraq,,Iraq,1/23/20,33.223191,43.679291,0,0,0
Ireland,,Ireland,1/23/20,53.1424,-7.6921,0,0,0
Israel,,Israel,1/23/20,31.046051,34.851612,0,0,0
Italy,,Italy,1/23/20,41.87194,12.56738,0,0,0
Jamaica,,Jamaica,1/23/20,18.1096,-77.2975,0,0,0
Japan,,Japan,1/23/20,36.204824,138.252924,2,0,0
Jordan,,Jordan,1/23/20,31.24,36.51,0,0,0
Kazakhstan,,Kazakhstan,1/23/20,48.0196,66.9237,0,0,0
Kenya,,Kenya,1/23/20,-0.0236,37.9062,0,0,0
South Korea,,South Korea,1/23/20,35.90775700000001,127.766922,1,0,0
Kuwait,,Kuwait,1/23/20,29.31166,47.481766,0,0,0
Kyrgyzstan,,Kyrgyzstan,1/23/20,41.20438,74.766098,0,0,0
Latvia,,Latvia,1/23/20,56.8796,24.6032,0,0,0
Lebanon,,Lebanon,1/23/20,33.8547,35.8623,0,0,0
Liberia,,Liberia,1/23/20,6.4280550000000005,-9.429499,0,0,0
Liechtenstein,,Liechtenstein,1/23/20,47.14,9.55,0,0,0
Lithuania,,Lithuania,1/23/20,55.1694,23.8813,0,0,0
Luxembourg,,Luxembourg,1/23/20,49.8153,6.1296,0,0,0
Madagascar,,Madagascar,1/23/20,-18.766947,46.869107,0,0,0
Malaysia,,Malaysia,1/23/20,4.210483999999999,101.975766,0,0,0
Maldives,,Maldives,1/23/20,3.2028,73.2207,0,0,0
Malta,,Malta,1/23/20,35.9375,14.3754,0,0,0
Mauritania,,Mauritania,1/23/20,21.0079,-10.9408,0,0,0
